CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_Inactive_12_mon,Credit_Limit,Total_Trans_Amt
713071383,0,54,1,3,3723.0,8554
714246333,1,58,4,4,5396.0,2107
718206783,0,45,4,1,15987.0,1436
721096983,0,34,2,3,3625.0,2616
720028683,0,49,2,3,2720.0,3806
778942233,0,60,0,2,1438.3,1267
708682908,0,43,4,2,2838.0,8644
720670458,0,52,2,1,3476.0,3496
719952408,0,30,0,3,2550.0,1870
708412758,1,33,3,2,1457.0,2200
716987358,1,29,0,1,8022.0,5660
713930433,1,57,2,3,4316.0,1920
712374708,0,28,0,2,23103.0,14049
712763808,0,38,2,3,6692.0,1468
710301858,0,49,5,2,34516.0,3820
827408058,0,44,3,2,2232.0,3803
717316008,0,38,2,2,3782.0,14977
789101883,0,32,3,2,14244.0,2729
710082708,0,44,4,4,23957.0,1276
711535158,1,46,1,3,2197.0,1955
710595783,0,46,3,1,6644.0,4659
815582358,0,47,5,1,2519.0,8852
715497558,1,44,1,3,3052.0,2598
785038908,0,43,0,1,6380.0,17119
708916083,1,49,0,2,1749.0,2510
789508758,0,54,2,2,4170.0,3669
751155783,0,47,2,1,4074.0,15005
716441058,0,45,4,5,14416.0,13820
720983733,1,44,3,3,15422.0,2136
720015183,0,60,1,3,5130.0,4601
809620833,0,35,3,3,9293.0,2314
710180958,0,43,3,2,3040.0,1598
708100533,0,55,3,3,2679.0,4943
820394733,0,52,0,1,34516.0,7690
719359458,0,49,2,3,1991.0,4527
716866308,0,38,2,3,5940.0,1872
719680908,0,47,0,1,1776.0,4878
767197983,0,52,2,1,4209.0,5938
713480583,0,46,3,2,4668.0,1612
772601283,0,39,1,2,23034.0,2514
714292533,0,48,3,1,2544.0,3593
711835758,0,50,3,5,34516.0,1756
780833058,0,46,2,3,2619.0,3835
788728608,0,34,0,3,3870.0,1588
714346608,1,51,2,1,1495.0,2220
714418158,0,63,0,2,7264.0,3527
714577233,0,50,3,3,4755.0,15999
711368283,0,39,2,3,34516.0,3448
766429908,0,49,2,1,3017.0,1640
714816258,0,37,2,2,7638.0,2336
708151008,0,49,4,1,6250.0,2433
710701233,0,44,5,1,17785.0,3890
709267308,0,62,1,1,2437.0,1651
789365508,1,49,2,3,14839.0,1453
713906508,0,42,3,3,2837.0,3892
714516033,0,53,3,2,9025.0,4412
717904383,0,40,2,1,18693.0,1516
801518958,0,56,1,3,5338.0,4139
712925808,1,51,1,3,2710.0,4724
713474733,1,51,2,3,1438.3,1783
710939283,0,45,3,2,4209.0,16078
710638233,1,41,2,2,4277.0,8764
713265858,0,44,3,2,34516.0,4795
713511108,0,61,1,3,1438.3,1397
779978283,0,45,3,2,5056.0,4428
716432658,0,48,3,2,1438.3,4490
716013858,0,53,0,1,20231.0,5002
795904233,0,38,3,1,26945.0,1579
825743583,0,39,2,3,32089.0,13796
708692583,1,44,2,3,1506.0,2312
779351208,0,49,2,1,5176.0,1902
711877458,0,51,3,2,1936.0,4072
712549758,0,40,4,2,25060.0,3749
709161108,1,44,1,2,2540.0,1531
715477233,0,55,1,2,6968.0,4037
821759658,1,41,4,2,4650.0,2014
713772333,1,45,3,3,3223.0,1979
713610933,0,40,2,2,2708.0,4277
714974658,0,48,4,1,2464.0,1219
769063308,0,45,3,2,29003.0,1676
819214233,0,43,3,2,1530.0,5138
709892658,0,48,5,3,1605.0,4495
788907033,0,40,2,3,5238.0,7321
711824358,0,44,4,3,3228.0,4524
717281658,0,52,3,3,6060.0,3953
773988708,0,52,2,2,34516.0,7512
710782458,0,31,1,2,2469.0,1615
719926683,0,41,3,2,20749.0,4754
778671483,0,33,3,3,1630.0,4143
708563433,1,65,0,6,5894.0,1616
789497283,1,50,2,3,34162.0,7572
716613933,0,51,3,5,3417.0,3651
718535733,0,40,1,3,3758.0,4928
714997683,0,56,4,1,14915.0,1388
716201883,0,46,2,2,34516.0,14696
819634233,1,46,2,2,6568.0,1507
766649283,0,49,3,2,14072.0,13432
708386958,1,47,3,3,1561.0,1947
719911458,0,49,5,2,2598.0,4396
753327333,0,41,3,4,13535.0,1028
711776433,0,37,3,2,23622.0,2574
709363383,0,34,2,4,22886.0,2652
716529258,0,42,4,3,31864.0,1591
714490308,0,57,4,2,19270.0,1565
771795933,1,49,4,3,34516.0,2376
714267858,0,44,2,2,4559.0,4934
714848958,1,47,2,2,15109.0,2315
715708308,0,54,3,1,2112.0,1338
715014633,1,32,0,3,8791.0,2579
716877258,0,55,3,3,3968.0,4641
780253533,0,63,0,3,3558.0,1631
710516283,0,50,1,1,9758.0,4134
720532908,0,36,2,3,9735.0,2967
779737233,0,51,1,3,9589.0,3971
713741358,1,46,5,3,32975.0,597
804661083,0,50,0,2,2135.0,4821
827360883,0,47,3,3,13473.0,1593
812785158,0,42,4,3,2411.0,4331
711371208,0,50,4,2,6465.0,4490
779895108,0,39,3,1,2718.0,1711
767333808,0,50,2,3,3424.0,4929
713763633,0,54,2,3,3014.0,1488
788940558,0,41,3,1,2134.0,4224
708995283,0,50,1,1,10417.0,4871
714703158,0,39,2,2,1578.0,2017
770262183,0,31,0,2,5715.0,2324
710944608,0,39,3,2,8434.0,1414
719502183,0,52,2,1,4950.0,4529
708899283,0,40,3,3,2690.0,4917
709183683,0,31,0,2,5391.0,1971
805261983,0,35,4,3,1626.0,2847
720070383,0,41,3,3,2429.0,4775
815062383,0,35,2,3,4549.0,1914
715474833,0,37,2,2,12944.0,4389
826068183,0,36,1,4,15488.0,2916
711831558,0,49,4,1,7184.0,3244
712157958,1,44,3,3,10908.0,4883
789114408,0,50,1,1,4182.0,4693
715736283,0,55,4,1,1912.0,4666
714731208,0,63,0,2,1651.0,4050
770882508,0,38,2,1,17162.0,2457
713181558,0,55,2,1,5794.0,4201
721221783,0,62,2,3,5844.0,3546
773667708,1,50,1,4,7050.0,2176
789129033,0,44,5,3,14910.0,1150
711900033,0,57,0,2,4661.0,5242
798045708,0,42,5,1,7434.0,4182
708455883,1,57,1,3,10244.0,1127
767587833,0,44,3,1,3650.0,4599
708928908,0,39,1,3,2533.0,5128
772491333,0,31,1,1,5342.0,14738
719880408,0,46,4,3,3072.0,3992
716832858,1,46,3,2,4930.0,7412
715503558,0,57,3,2,3542.0,4127
809954133,0,49,2,1,5013.0,5223
719724933,0,58,1,4,2220.0,4396
711772008,1,35,3,2,1890.0,1483
