Attrition_Flag,Marital_Status,Education_Level,Customer_Age,Dependent_count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1
0,Single,Unknown,54,1,3,3723.0,1728,0.595
1,Married,High School,58,4,4,5396.0,1803,0.493
0,Single,Unknown,45,4,1,15987.0,1648,0.732
0,Single,Graduate,34,2,3,3625.0,2517,1.158
0,Married,High School,49,2,3,2720.0,1926,0.602
0,Married,Doctorate,60,0,2,1438.3,648,0.477
0,Single,Unknown,43,4,2,2838.0,1934,0.873
0,Single,Unknown,52,2,1,3476.0,1560,0.894
0,Married,Graduate,30,0,3,2550.0,1623,0.65
1,Single,Graduate,33,3,2,1457.0,0,0.677
1,Divorced,Post-Graduate,29,0,1,8022.0,0,0.381
1,Unknown,Uneducated,57,2,3,4316.0,0,0.363
0,Married,Graduate,28,0,2,23103.0,897,0.913
0,Single,Unknown,38,2,3,6692.0,2037,0.401
0,Married,High School,49,5,2,34516.0,2019,0.614
0,Married,Graduate,44,3,2,2232.0,2002,1.107
0,Married,Unknown,38,2,2,3782.0,0,0.7170000000000001
0,Single,Unknown,32,3,2,14244.0,1673,0.6990000000000001
0,Single,Post-Graduate,44,4,4,23957.0,2102,0.997
1,Unknown,College,46,1,3,2197.0,461,0.636
0,Unknown,Graduate,46,3,1,6644.0,2082,0.915
0,Unknown,Unknown,47,5,1,2519.0,1584,0.76
1,Married,College,44,1,3,3052.0,0,0.868
0,Married,Graduate,43,0,1,6380.0,1160,0.753
1,Unknown,Doctorate,49,0,2,1749.0,0,1.006
0,Single,Unknown,54,2,2,4170.0,641,0.815
0,Married,High School,47,2,1,4074.0,1868,0.688
0,Single,High School,45,4,5,14416.0,0,0.7879999999999999
1,Single,Unknown,44,3,3,15422.0,864,0.578
0,Married,Graduate,60,1,3,5130.0,2048,0.7759999999999999
0,Single,Unknown,35,3,3,9293.0,0,0.897
0,Single,High School,43,3,2,3040.0,2517,0.493
0,Single,College,55,3,3,2679.0,2277,0.736
0,Married,College,52,0,1,34516.0,1464,0.6890000000000001
0,Single,Uneducated,49,2,3,1991.0,0,0.954
0,Married,High School,38,2,3,5940.0,1101,0.942
0,Married,College,47,0,1,1776.0,691,0.878
0,Single,High School,52,2,1,4209.0,0,0.856
0,Married,High School,46,3,2,4668.0,0,0.89
0,Single,Post-Graduate,39,1,2,23034.0,1992,0.759
0,Married,College,48,3,1,2544.0,0,0.759
0,Married,Graduate,50,3,5,34516.0,2099,0.449
0,Married,High School,46,2,3,2619.0,2271,0.61
0,Married,High School,34,0,3,3870.0,1394,0.8270000000000001
1,Single,Graduate,51,2,1,1495.0,0,0.528
0,Single,Uneducated,63,0,2,7264.0,851,0.8140000000000001
0,Married,Graduate,50,3,3,4755.0,0,0.7759999999999999
0,Married,Unknown,39,2,3,34516.0,1629,1.078
0,Unknown,High School,49,2,1,3017.0,786,1.081
0,Single,Graduate,37,2,2,7638.0,947,0.682
0,Married,Graduate,49,4,1,6250.0,644,1.06
0,Single,Graduate,44,5,1,17785.0,1259,0.8059999999999999
0,Married,Graduate,62,1,1,2437.0,1400,0.779
1,Divorced,High School,49,2,3,14839.0,512,0.176
0,Single,Unknown,42,3,3,2837.0,834,0.427
0,Married,High School,53,3,2,9025.0,1005,0.568
0,Married,Graduate,40,2,1,18693.0,2052,0.5
0,Married,Graduate,56,1,3,5338.0,0,0.919
1,Married,Unknown,51,1,3,2710.0,0,0.999
1,Single,Graduate,51,2,3,1438.3,327,0.528
0,Divorced,Uneducated,45,3,2,4209.0,1300,0.75
1,Divorced,Unknown,41,2,2,4277.0,2186,0.804
0,Married,Graduate,44,3,2,34516.0,1344,0.523
0,Married,Uneducated,61,1,3,1438.3,847,0.436
0,Married,High School,45,3,2,5056.0,0,0.905
0,Married,High School,48,3,2,1438.3,0,0.6459999999999999
0,Single,Graduate,53,0,1,20231.0,1434,0.5429999999999999
0,Single,Unknown,38,3,1,26945.0,727,0.687
0,Single,Graduate,39,2,3,32089.0,1971,0.6709999999999999
1,Single,High School,44,2,3,1506.0,168,0.6709999999999999
0,Single,Unknown,49,2,1,5176.0,0,0.838
0,Married,College,51,3,2,1936.0,0,0.705
0,Married,Graduate,40,4,2,25060.0,0,0.758
1,Single,Unknown,44,1,2,2540.0,0,0.212
0,Unknown,High School,55,1,2,6968.0,1430,0.95
1,Divorced,High School,41,4,2,4650.0,204,0.685
1,Divorced,Unknown,45,3,3,3223.0,243,0.433
0,Married,Uneducated,40,2,2,2708.0,0,0.5720000000000001
0,Married,College,48,4,1,2464.0,1867,0.6
0,Married,Post-Graduate,45,3,2,29003.0,2323,0.6709999999999999
0,Married,Graduate,43,3,2,1530.0,0,0.642
0,Single,Graduate,48,5,3,1605.0,1300,0.95
0,Unknown,High School,40,2,3,5238.0,2077,0.6559999999999999
0,Single,College,44,4,3,3228.0,0,0.747
0,Divorced,Graduate,52,3,3,6060.0,1687,0.563
0,Married,Uneducated,52,2,2,34516.0,1588,0.745
0,Married,Graduate,31,1,2,2469.0,1695,0.8420000000000001
0,Divorced,High School,41,3,2,20749.0,2171,0.8420000000000001
0,Single,Uneducated,33,3,3,1630.0,1008,0.695
1,Single,High School,65,0,6,5894.0,477,1.015
1,Single,High School,50,2,3,34162.0,1723,0.429
0,Single,High School,51,3,5,3417.0,1482,0.705
0,Divorced,Uneducated,40,1,3,3758.0,2047,1.108
0,Married,Graduate,56,4,1,14915.0,1111,0.846
0,Unknown,Graduate,46,2,2,34516.0,1381,0.949
1,Unknown,Graduate,46,2,2,6568.0,0,0.1009999999999999
0,Divorced,Graduate,49,3,2,14072.0,1917,0.653
1,Married,Unknown,47,3,3,1561.0,0,0.502
0,Married,High School,49,5,2,2598.0,1848,0.547
0,Married,Unknown,41,3,4,13535.0,1291,0.653
0,Single,Uneducated,37,3,2,23622.0,1153,0.6659999999999999
0,Single,High School,34,2,4,22886.0,836,0.889
0,Married,Doctorate,42,4,3,31864.0,0,1.009
0,Married,Graduate,57,4,2,19270.0,1662,1.186
1,Single,Unknown,49,4,3,34516.0,2517,0.7
0,Single,High School,44,2,2,4559.0,1680,0.628
1,Single,Graduate,47,2,2,15109.0,897,0.494
0,Married,Doctorate,54,3,1,2112.0,1594,1.204
1,Married,Uneducated,32,0,3,8791.0,0,0.894
0,Single,Graduate,55,3,3,3968.0,1374,0.703
0,Married,Unknown,63,0,3,3558.0,2318,1.265
0,Single,High School,50,1,1,9758.0,1792,0.626
0,Divorced,Unknown,36,2,3,9735.0,1245,1.079
0,Married,Graduate,51,1,3,9589.0,628,0.695
1,Single,Graduate,46,5,3,32975.0,2517,0.6579999999999999
0,Single,Graduate,50,0,2,2135.0,1506,0.883
0,Married,High School,47,3,3,13473.0,1335,0.8140000000000001
0,Married,Uneducated,42,4,3,2411.0,1797,0.607
0,Married,College,50,4,2,6465.0,1863,0.3989999999999999
0,Single,Unknown,39,3,1,2718.0,2156,0.6679999999999999
0,Unknown,Graduate,50,2,3,3424.0,0,0.765
0,Married,Graduate,54,2,3,3014.0,794,0.5
0,Married,Graduate,41,3,1,2134.0,1085,0.6559999999999999
0,Unknown,Graduate,50,1,1,10417.0,2290,1.122
0,Married,High School,39,2,2,1578.0,760,0.7090000000000001
0,Single,Uneducated,31,0,2,5715.0,1741,0.816
0,Unknown,Graduate,39,3,2,8434.0,2222,0.691
0,Married,Graduate,52,2,1,4950.0,1829,0.6709999999999999
0,Single,Uneducated,40,3,3,2690.0,1935,0.593
0,Single,Uneducated,31,0,2,5391.0,0,1.075
0,Married,Unknown,35,4,3,1626.0,979,1.467
0,Single,Uneducated,41,3,3,2429.0,1966,1.046
0,Married,High School,35,2,3,4549.0,1193,0.445
0,Single,College,37,2,2,12944.0,1399,0.507
0,Married,Graduate,36,1,4,15488.0,1463,1.28
0,Divorced,College,49,4,1,7184.0,1207,0.657
1,Married,High School,44,3,3,10908.0,0,0.983
0,Single,Post-Graduate,50,1,1,4182.0,0,0.853
0,Single,Doctorate,55,4,1,1912.0,0,0.7829999999999999
0,Unknown,Uneducated,63,0,2,1651.0,1433,0.985
0,Married,College,38,2,1,17162.0,773,1.238
0,Married,Doctorate,55,2,1,5794.0,0,0.732
0,Single,Graduate,62,2,3,5844.0,2013,0.478
1,Divorced,Graduate,50,1,4,7050.0,1008,0.639
0,Single,Unknown,44,5,3,14910.0,877,0.772
0,Married,Doctorate,57,0,2,4661.0,1734,0.789
0,Married,Graduate,42,5,1,7434.0,0,0.63
1,Single,Graduate,57,1,3,10244.0,861,0.78
0,Single,Unknown,44,3,1,3650.0,2512,0.7390000000000001
0,Single,Graduate,39,1,3,2533.0,0,0.998
0,Married,Post-Graduate,31,1,1,5342.0,2005,0.682
0,Married,Graduate,46,4,3,3072.0,1611,0.682
1,Married,Graduate,46,3,2,4930.0,159,0.5920000000000001
0,Married,High School,57,3,2,3542.0,2417,0.687
0,Married,Uneducated,49,2,1,5013.0,0,0.8220000000000001
0,Married,Uneducated,58,1,4,2220.0,1240,0.906
1,Single,Graduate,35,3,2,1890.0,666,0.691
0,Single,High School,55,4,1,2001.0,1553,0.482
0,Single,Graduate,32,0,1,1614.0,925,0.598
0,Single,Graduate,51,4,1,2680.0,1753,0.32
0,Married,Post-Graduate,56,0,2,3617.0,878,0.777
0,Unknown,Graduate,45,4,5,8670.0,1930,0.933
0,Married,High School,52,3,4,4223.0,2235,0.863
0,Married,Uneducated,56,2,2,4458.0,1880,1.107
0,Married,Graduate,51,1,3,34516.0,2452,0.7070000000000001
0,Single,Graduate,45,2,4,1438.3,986,0.649
0,Divorced,Graduate,50,2,2,8307.0,2517,1.743
0,Married,Unknown,34,3,2,5795.0,924,0.86
0,Married,Doctorate,56,2,2,2283.0,1430,2.316
0,Married,Unknown,53,3,2,2753.0,1811,0.977
1,Unknown,Graduate,55,2,4,1438.3,0,0.639
0,Single,Unknown,43,3,2,2594.0,1686,0.624
0,Divorced,Graduate,32,2,1,29961.0,789,0.833
1,Married,Graduate,33,2,2,27992.0,0,0.433
0,Married,Doctorate,41,4,3,33405.0,0,0.535
0,Single,High School,33,3,3,5156.0,1427,0.48
0,Single,Graduate,52,2,4,1538.0,666,0.642
0,Married,College,50,3,1,24735.0,2296,0.8079999999999999
0,Single,College,37,2,1,3680.0,683,0.85
0,Married,Unknown,43,3,3,5702.0,0,0.773
1,Married,Unknown,58,4,3,2536.0,0,0.917
1,Unknown,Doctorate,43,4,2,18229.0,0,0.544
0,Married,Graduate,65,1,2,7023.0,1726,1.178
0,Married,Graduate,57,2,2,12208.0,1980,0.616
0,Single,High School,61,2,2,2175.0,1404,0.633
1,Single,Post-Graduate,51,2,3,4281.0,0,0.447
