Attrition_Flag,Customer_Age,Dependent_count,Months_Inactive_12_mon,Total_Trans_Amt,Education_Level
0,60,1,2,4183,High School
0,48,4,1,3843,Graduate
1,40,3,2,781,Graduate
0,34,1,6,4314,Graduate
0,32,1,2,2439,High School
0,50,1,2,4006,Uneducated
1,49,1,3,9524,Graduate
0,60,1,5,14954,High School
0,47,3,1,3912,Graduate
0,37,2,1,3462,Unknown
0,37,2,3,2298,Graduate
0,64,0,2,1439,Doctorate
0,41,3,3,4410,High School
0,53,2,2,5070,Graduate
1,26,0,2,947,Uneducated
0,48,4,3,4751,Uneducated
0,47,2,2,4892,High School
0,34,1,1,4159,Graduate
0,36,1,1,3030,Uneducated
0,45,3,6,4878,Doctorate
0,39,3,3,3955,Uneducated
0,50,1,2,1298,Graduate
0,41,3,1,13209,High School
0,44,3,1,4400,Unknown
0,38,2,2,3990,High School
0,56,2,3,13945,High School
0,37,2,3,2735,Uneducated
0,36,3,2,2511,Graduate
1,63,1,4,2083,Graduate
0,52,1,1,4697,Graduate
0,48,4,1,3291,Graduate
0,43,3,3,4424,Post-Graduate
0,55,3,2,2354,Unknown
0,36,2,1,4644,Uneducated
0,42,4,2,3574,High School
0,49,4,2,4792,Unknown
0,38,3,1,2234,Unknown
0,50,3,2,2909,College
1,44,3,3,2223,Graduate
0,41,2,3,7685,Graduate
0,34,1,1,4110,Uneducated
0,43,2,3,4874,Graduate
0,43,4,1,1400,Uneducated
1,39,3,3,2476,College
0,55,1,1,4291,Unknown
0,57,3,1,5405,College
0,51,0,2,3722,High School
0,46,2,1,3749,Unknown
1,49,3,3,2239,Graduate
0,46,4,2,4384,Unknown
0,49,3,2,4345,Unknown
0,42,2,1,4496,Graduate
0,43,1,2,1229,High School
0,41,4,1,15033,Unknown
0,38,4,1,1445,High School
0,28,1,3,14054,Post-Graduate
0,65,1,2,1463,Graduate
0,32,0,3,3975,College
0,51,2,3,1678,Graduate
0,59,0,2,1335,High School
1,53,2,3,2836,College
1,61,1,1,4041,Graduate
0,56,3,3,1373,High School
0,49,2,2,4253,High School
0,49,2,1,1803,Post-Graduate
0,46,3,3,3967,Unknown
0,44,1,3,4268,Graduate
0,46,1,3,4858,High School
0,38,0,4,2143,Graduate
0,48,1,3,5006,College
0,55,1,3,4528,Graduate
0,32,0,3,2657,Graduate
0,48,2,2,4240,High School
0,50,1,2,8503,Graduate
0,56,1,4,5285,Graduate
0,55,2,3,1421,High School
0,48,5,3,4407,Graduate
0,40,2,4,3879,High School
0,50,3,3,2004,Graduate
0,45,3,2,4542,Uneducated
1,48,4,3,2132,Unknown
0,50,2,2,15476,Graduate
0,41,2,2,3533,High School
0,45,2,3,4437,Doctorate
0,41,3,1,4086,High School
0,47,3,2,8526,Graduate
0,37,2,1,4490,Unknown
1,34,3,2,2703,High School
0,48,2,3,3850,High School
0,45,3,3,8113,Graduate
0,43,2,2,4262,Graduate
0,49,3,2,3748,Unknown
1,59,0,4,687,High School
0,50,0,2,4651,Uneducated
0,49,4,2,17350,Post-Graduate
1,55,3,5,8918,Uneducated
0,47,4,2,1747,Uneducated
0,62,1,1,3975,Unknown
0,36,2,2,2576,Post-Graduate
0,54,3,2,1881,Doctorate
0,43,2,1,4476,High School
0,55,2,2,2058,Post-Graduate
1,37,2,3,2729,Graduate
0,52,1,3,4598,College
0,55,2,2,5175,Unknown
0,34,1,1,5293,High School
0,39,5,2,5205,Graduate
0,37,2,1,5032,Unknown
0,51,4,2,14149,College
0,38,0,3,16736,High School
